Year,Month,new_cases,new_deaths,icu_patients,hosp_patients,new_vaccinations
2020,1,0.0,0.0,0.0,0.0,0.0
2020,2,1.0,0.0,0.0,0.0,0.0
2020,3,12030.0,751.0,8358.0,39214.0,0.0
2020,4,35469.0,6400.0,33024.0,148782.0,0.0
2020,5,11354.0,2242.0,11833.0,57323.0,0.0
2020,6,2838.0,304.0,2381.0,12794.0,0.0
2020,7,4867.0,85.0,1090.0,5654.0,0.0
2020,8,18525.0,205.0,2342.0,9020.0,0.0
2020,9,30024.0,96.0,2493.0,11922.0,0.0
2020,10,222728.0,804.0,14673.0,86599.0,0.0
2020,11,239904.0,5798.0,38442.0,180124.0,0.0
2020,12,61020.0,2689.0,18940.0,86470.0,591.0
2021,1,67718.0,1934.0,11368.0,60619.0,343236.0
2021,2,59533.0,983.0,9102.0,47444.0,532058.0
2021,3,98472.0,733.0,16746.0,68153.0,1126338.0
2021,4,104595.0,1080.0,26845.0,89992.0,1981015.0
2021,5,86909.0,934.0,19353.0,58355.0,2927983.0
2021,6,21035.0,235.0,7542.0,19762.0,4183647.0
2021,7,30014.0,58.0,2920.0,8289.0,3622973.0
2021,8,64574.0,147.0,4567.0,16183.0,1606883.0
2021,9,55929.0,191.0,6438.0,20741.0,547777.0
2021,10,139996.0,458.0,7019.0,30269.0,773855.0
2021,11,360009.0,864.0,16152.0,81007.0,1313603.0
2021,12,320566.0,1201.0,22872.0,87940.0,2770057.0
2022,1,1080055.0,832.0,12847.0,79369.0,2212314.0
2022,2,427115.0,1078.0,9958.0,95924.0,987273.0
2022,3,249514.0,563.0,5703.0,71785.0,259271.0
2022,4,233073.0,647.0,5108.0,87459.0,50400.0
2022,5,117231.0,388.0,3220.0,46783.0,72176.0
2022,6,71006.0,158.0,1909.0,29554.0,273070.0
2022,7,201707.0,366.0,3175.0,60433.0,54978.0
2022,8,58564.0,255.0,2799.0,39443.0,59488.0
2022,9,50597.0,141.0,1593.0,23309.0,1836343.0
2022,10,83532.0,261.0,2170.0,42863.0,1685996.0
2022,11,21114.0,138.0,1487.0,23823.0,202577.0
2022,12,37854.0,221.0,2378.0,49209.0,64811.0
2023,1,19756.0,297.0,2080.0,30325.0,28579.0
2023,2,29583.0,176.0,1379.0,34784.0,8373.0
2023,3,44746.0,275.0,3397.0,64010.0,5174.0
2023,4,21541.0,229.0,2195.0,35941.0,1789.0
2023,5,4907.0,90.0,730.0,11422.0,1383.0
2023,6,1647.0,31.0,58.0,704.0,910.0
2023,7,1088.0,1.0,0.0,0.0,337.0
2023,8,4187.0,0.0,0.0,0.0,311.0
2023,9,9629.0,0.0,0.0,0.0,433885.0
2023,10,10174.0,0.0,0.0,0.0,1222848.0
2023,11,5873.0,0.0,0.0,0.0,213985.0
2023,12,16142.0,0.0,0.0,0.0,44023.0
2024,1,7401.0,0.0,0.0,0.0,7103.0
2024,2,3619.0,0.0,0.0,0.0,939.0
2024,3,1340.0,0.0,0.0,0.0,0.0
2024,4,554.0,0.0,0.0,0.0,0.0
2024,5,737.0,0.0,0.0,0.0,0.0
2024,6,3429.0,0.0,0.0,0.0,0.0
2024,7,5727.0,0.0,0.0,0.0,0.0
2024,8,1277.0,0.0,0.0,0.0,0.0
