Date,Country/Region,Confirmed,Recovered,Deaths
22-01-2020,India,0,0,0
23-01-2020,India,0,0,0
24-01-2020,India,0,0,0
25-01-2020,India,0,0,0
26-01-2020,India,0,0,0
27-01-2020,India,0,0,0
28-01-2020,India,0,0,0
29-01-2020,India,0,0,0
30-01-2020,India,1,0,0
31-01-2020,India,1,0,0
01-02-2020,India,1,0,0
02-02-2020,India,2,0,0
03-02-2020,India,3,0,0
04-02-2020,India,3,0,0
05-02-2020,India,3,0,0
06-02-2020,India,3,0,0
07-02-2020,India,3,0,0
08-02-2020,India,3,0,0
09-02-2020,India,3,0,0
10-02-2020,India,3,0,0
11-02-2020,India,3,0,0
12-02-2020,India,3,0,0
13-02-2020,India,3,0,0
14-02-2020,India,3,0,0
15-02-2020,India,3,0,0
16-02-2020,India,3,3,0
17-02-2020,India,3,3,0
18-02-2020,India,3,3,0
19-02-2020,India,3,3,0
20-02-2020,India,3,3,0
21-02-2020,India,3,3,0
22-02-2020,India,3,3,0
23-02-2020,India,3,3,0
24-02-2020,India,3,3,0
25-02-2020,India,3,3,0
26-02-2020,India,3,3,0
27-02-2020,India,3,3,0
28-02-2020,India,3,3,0
29-02-2020,India,3,3,0
01-03-2020,India,3,3,0
02-03-2020,India,5,3,0
03-03-2020,India,5,3,0
04-03-2020,India,28,3,0
05-03-2020,India,30,3,0
06-03-2020,India,31,3,0
07-03-2020,India,34,3,0
08-03-2020,India,39,3,0
09-03-2020,India,43,3,0
10-03-2020,India,56,4,0
11-03-2020,India,62,4,1
12-03-2020,India,73,4,1
13-03-2020,India,82,4,2
14-03-2020,India,102,4,2
15-03-2020,India,113,13,2
16-03-2020,India,119,13,2
17-03-2020,India,142,14,3
18-03-2020,India,156,14,3
19-03-2020,India,194,15,4
20-03-2020,India,244,20,5
21-03-2020,India,330,23,4
22-03-2020,India,396,27,7
23-03-2020,India,499,27,10
24-03-2020,India,536,40,10
25-03-2020,India,657,43,12
26-03-2020,India,727,45,20
27-03-2020,India,887,73,20
28-03-2020,India,987,84,24
29-03-2020,India,1024,95,27
30-03-2020,India,1251,102,32
31-03-2020,India,1397,123,35
01-04-2020,India,1998,148,58
02-04-2020,India,2543,191,72
03-04-2020,India,2567,192,72
04-04-2020,India,3082,229,86
05-04-2020,India,3588,229,99
06-04-2020,India,4778,375,136
07-04-2020,India,5311,421,150
08-04-2020,India,5916,506,178
09-04-2020,India,6725,620,226
10-04-2020,India,7598,774,246
11-04-2020,India,8446,969,288
12-04-2020,India,9205,1080,331
13-04-2020,India,10453,1181,358
14-04-2020,India,11487,1359,393
15-04-2020,India,12322,1432,405
16-04-2020,India,13430,1768,448
17-04-2020,India,14352,2041,486
18-04-2020,India,15722,2463,521
19-04-2020,India,17615,2854,559
20-04-2020,India,18539,3273,592
21-04-2020,India,20080,3975,645
22-04-2020,India,21370,4370,681
23-04-2020,India,23077,5012,721
24-04-2020,India,24530,5498,780
25-04-2020,India,26283,5939,825
26-04-2020,India,27890,6523,881
27-04-2020,India,29451,7137,939
28-04-2020,India,31324,7747,1008
29-04-2020,India,33062,8437,1079
30-04-2020,India,34863,9068,1154
01-05-2020,India,37257,10007,1223
02-05-2020,India,39699,10819,1323
03-05-2020,India,42505,11775,1391
04-05-2020,India,46437,12847,1566
05-05-2020,India,49400,14142,1693
06-05-2020,India,52987,15331,1785
07-05-2020,India,56351,16776,1889
08-05-2020,India,59695,17887,1985
09-05-2020,India,62808,19301,2101
10-05-2020,India,67161,20969,2212
11-05-2020,India,70768,22549,2294
12-05-2020,India,74292,24420,2415
13-05-2020,India,78055,26400,2551
14-05-2020,India,81997,27969,2649
15-05-2020,India,85784,30258,2753
16-05-2020,India,90648,34224,2871
17-05-2020,India,95698,36795,3025
18-05-2020,India,100328,39233,3156
19-05-2020,India,106475,42309,3302
20-05-2020,India,112028,45422,3434
21-05-2020,India,118226,48553,3584
22-05-2020,India,124794,51824,3726
23-05-2020,India,131423,54385,3868
24-05-2020,India,138536,57692,4024
25-05-2020,India,144950,60706,4172
26-05-2020,India,150793,64277,4344
27-05-2020,India,158086,67749,4534
28-05-2020,India,165386,70920,4711
29-05-2020,India,173491,82627,4980
30-05-2020,India,181827,86936,5185
31-05-2020,India,190609,91852,5408
01-06-2020,India,198370,95754,5608
02-06-2020,India,207191,100285,5829
03-06-2020,India,216824,104071,6088
04-06-2020,India,226713,108450,6363
05-06-2020,India,236184,113233,6649
06-06-2020,India,246622,118695,6946
07-06-2020,India,257486,123848,7207
08-06-2020,India,265928,129095,7473
09-06-2020,India,276146,134670,7750
10-06-2020,India,286605,135206,8102
11-06-2020,India,297535,147195,8498
12-06-2020,India,308993,154330,8884
13-06-2020,India,320922,162379,9195
14-06-2020,India,332424,169798,9520
15-06-2020,India,343091,180013,9900
16-06-2020,India,354065,186935,11903
17-06-2020,India,366946,194325,12237
18-06-2020,India,380532,204711,12573
19-06-2020,India,395048,213831,12948
20-06-2020,India,410451,227728,13254
21-06-2020,India,425282,237196,13699
22-06-2020,India,440215,248190,14011
23-06-2020,India,456183,258685,14476
24-06-2020,India,473105,271697,14894
25-06-2020,India,490401,285637,15301
26-06-2020,India,508953,295881,15685
27-06-2020,India,528859,309713,16095
28-06-2020,India,548318,321723,16475
29-06-2020,India,566840,334822,16893
30-06-2020,India,585481,347912,17400
01-07-2020,India,604641,359860,17834
02-07-2020,India,625544,379892,18213
03-07-2020,India,648315,394227,18655
04-07-2020,India,673165,409083,19268
05-07-2020,India,697413,424433,19693
06-07-2020,India,719664,439934,20159
07-07-2020,India,742417,456831,20642
08-07-2020,India,767296,476378,21129
09-07-2020,India,793802,495513,21604
10-07-2020,India,820916,515386,22123
11-07-2020,India,849522,534618,22673
12-07-2020,India,878254,553471,23174
13-07-2020,India,906752,571460,23727
14-07-2020,India,936181,592032,24309
15-07-2020,India,968857,612768,24914
16-07-2020,India,1003832,635757,25602
17-07-2020,India,1039084,653751,26273
18-07-2020,India,1077781,677423,26816
19-07-2020,India,1118206,700087,27497
20-07-2020,India,1155338,724578,28082
21-07-2020,India,1193078,753050,28732
22-07-2020,India,1238798,782607,29861
23-07-2020,India,1288108,817209,30601
24-07-2020,India,1337024,849432,31358
25-07-2020,India,1385635,885573,32060
26-07-2020,India,1435616,917568,32771
27-07-2020,India,1480073,951166,33408
28-07-2020,India,1531669,988029,34193
29-07-2020,India,1581963,1019735,34955
